topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_max_utilization,mean_hops,mean_distance_km,mean_decision_latency_ms,requests,served,blocked
irregular12,distance,10,11,0.5004,0.96084942193755,0.287351500804,1.1255,27.7119,0.02,10000,4996,5004
irregular12,distance,10,12,0.5083,0.96114284584096,0.280592326717,1.1014,27.0683,0.02,10000,4917,5083
irregular12,distance,10,13,0.4974,0.9603529797055314,0.28930242758999997,1.1289,27.9026,0.02,10000,5026,4974
irregular12,distance,10,14,0.504,0.960637397983871,0.284676214117,1.1197,27.6685,0.02,10000,4960,5040
irregular12,distance,10,15,0.5064,0.9611505097244734,0.282116105572,1.104,27.1628,0.02,10000,4936,5064
irregular12,distance,10,16,0.513,0.9610624098562628,0.27789186003,1.0885,26.7075,0.02,10000,4870,5130
irregular12,distance,10,17,0.5062,0.9609641221142163,0.28007406379600003,1.105,27.1211,0.02,10000,4938,5062
irregular12,distance,10,18,0.5014,0.9608537793822703,0.285562237308,1.1217,27.5958,0.02,10000,4986,5014
irregular12,distance,10,19,0.5036,0.961343863215149,0.284625163401,1.119,27.4551,0.02,10000,4964,5036
irregular12,distance,10,20,0.5087,0.9610267427233868,0.278282009172,1.0947,26.9779,0.02,10000,4913,5087
irregular12,distance,10,21,0.5008,0.9609299413060899,0.28718322115,1.1286,27.7147,0.02,10000,4992,5008
irregular12,distance,10,22,0.4982,0.9613866426863291,0.287669045524,1.1223,27.6598,0.02,10000,5018,4982
irregular12,distance,10,23,0.4945,0.9614775270029675,0.291876367405,1.1317,27.8084,0.02,10000,5055,4945
irregular12,distance,10,24,0.5044,0.9617134164648911,0.279457470698,1.0946,26.9762,0.02,10000,4956,5044
irregular12,distance,10,25,0.4994,0.9609009990011985,0.288229863094,1.1271,27.7595,0.02,10000,5006,4994
irregular12,distance,10,26,0.5032,0.9608209134460546,0.28537971016,1.1183,27.4947,0.02,10000,4968,5032
irregular12,distance,10,27,0.5069,0.9612629772865546,0.282676888792,1.1052,27.1793,0.02,10000,4931,5069
irregular12,distance,10,28,0.5143,0.9612314900144122,0.274218806499,1.0868,26.8141,0.02,10000,4857,5143
irregular12,distance,10,29,0.5081,0.9612053128684691,0.28192290169,1.1028,27.064,0.02,10000,4919,5081
irregular12,distance,10,30,0.5051,0.9612198674479694,0.28274863809899997,1.0962,26.9409,0.02,10000,4949,5051
irregular12,distance,20,1,0.7277,0.9519323786265149,0.123954883931,0.6196,15.1471,0.02,10000,2723,7277
irregular12,distance,20,2,0.7219,0.9532209176555196,0.125564109646,0.624,15.1939,0.02,10000,2781,7219
irregular12,distance,20,3,0.7221,0.9530727988485068,0.12383037194999999,0.6194,15.1298,0.02,10000,2779,7221
irregular12,distance,20,4,0.7312,0.9535104549851192,0.120317211228,0.6037,14.771,0.02,10000,2688,7312
irregular12,distance,20,5,0.7261,0.9533334103687476,0.121248564168,0.6104,14.9674,0.02,10000,2739,7261
irregular12,distance,20,6,0.7289,0.9526383415713758,0.12269260960799999,0.6135,14.9554,0.02,10000,2711,7289
irregular12,distance,20,7,0.7223,0.9519584220381707,0.12790619467,0.6404,15.7098,0.02,10000,2777,7223
irregular12,distance,20,8,0.7301,0.9523614142274917,0.12194064793800001,0.6148,15.0501,0.02,10000,2699,7301
irregular12,distance,20,9,0.7297,0.9528679415464298,0.123243018474,0.6234,15.2521,0.02,10000,2703,7297
irregular12,distance,20,10,0.7244,0.9531400707547171,0.124032096501,0.6241,15.2649,0.02,10000,2756,7244
irregular12,distance,20,11,0.7295,0.952139696857671,0.12176850337799999,0.6147,15.052,0.02,10000,2705,7295
irregular12,distance,20,12,0.7342,0.9528154988713318,0.11918275509099999,0.6081,14.8912,0.02,10000,2658,7342
irregular12,distance,20,13,0.7194,0.9533376963649323,0.129225992781,0.645,15.7903,0.02,10000,2806,7194
irregular12,distance,20,14,0.7293,0.9524060480236424,0.122359856818,0.6197,15.2075,0.02,10000,2707,7293
irregular12,distance,20,15,0.7318,0.9523128407904549,0.11966016848199999,0.6082,14.884,0.02,10000,2682,7318
irregular12,distance,20,16,0.7196,0.9525514732524965,0.130215847986,0.6436,15.7052,0.02,10000,2804,7196
irregular12,distance,20,17,0.7229,0.9530265528690003,0.124548365093,0.6203,15.1865,0.02,10000,2771,7229
irregular12,distance,20,18,0.7258,0.9523738595915392,0.123952093457,0.6204,15.1001,0.02,10000,2742,7258
irregular12,distance,20,19,0.7227,0.9525542783988461,0.126678026823,0.6296,15.3879,0.02,10000,2773,7227
irregular12,distance,20,20,0.7391,0.9523439754695284,0.11577436572199999,0.5935,14.5252,0.02,10000,2609,7391
irregular12,distance,20,21,0.7226,0.9529558287671234,0.12634607032599998,0.6299,15.3929,0.02,10000,2774,7226
irregular12,distance,20,22,0.7298,0.9522123008882308,0.12127549794100001,0.6153,15.0467,0.02,10000,2702,7298
irregular12,distance,20,23,0.7218,0.9523355122214234,0.125737804746,0.6263,15.3674,0.02,10000,2782,7218
irregular12,distance,20,24,0.7226,0.953044616077866,0.126941208002,0.6249,15.2712,0.02,10000,2774,7226
irregular12,distance,20,25,0.7245,0.9524265056261343,0.125262986292,0.6278,15.4029,0.02,10000,2755,7245
irregular12,distance,20,26,0.7237,0.9533547803112558,0.125009856134,0.6294,15.3804,0.02,10000,2763,7237
irregular12,distance,20,27,0.7283,0.9524261884431359,0.12416441237300001,0.6227,15.2514,0.02,10000,2717,7283
irregular12,distance,20,28,0.7254,0.9528175229424617,0.123153814463,0.6152,15.0826,0.02,10000,2746,7254
irregular12,distance,20,29,0.7251,0.9524228446707893,0.125394031465,0.629,15.3685,0.02,10000,2749,7251
irregular12,distance,20,30,0.7232,0.953013164017341,0.126211357357,0.6374,15.6056,0.02,10000,2768,7232
