x,exact,approx,abs_error,rel_error
0.69596520,0.498592972857,0.498634317540,4.134468295641e-05,8.292271493414e-05
0.70396480,0.494620339426,0.494682230869,6.189144287772e-05,1.251291909053e-04
0.71196440,0.490679358700,0.490714885176,3.552647571481e-05,7.240262930342e-05
0.71996400,0.486769778480,0.486778057527,8.279046048831e-06,1.700813488191e-05
0.72796360,0.482891348578,0.482932784009,4.143543091539e-05,8.580694402052e-05
0.73596320,0.479043820796,0.479102769512,5.894871684820e-05,1.230549571651e-04
0.74396280,0.475226948916,0.475272755016,4.580610041927e-05,9.638784274282e-05
0.75196240,0.471440488682,0.471457999542,1.751086020213e-05,3.714330996704e-05
0.75996200,0.467684197783,0.467734798199,5.060041619587e-05,1.081935554712e-04
0.76796160,0.463957835840,0.464011596857,5.376101688132e-05,1.158747901822e-04
0.77596120,0.460261164387,0.460288395514,2.723112684744e-05,5.916451126983e-05
0.78396080,0.456593946860,0.456610971237,1.702437636208e-05,3.728559364211e-05
0.79196040,0.452955948580,0.453009842069,5.389348892332e-05,1.189817444549e-04
0.79996000,0.449346936737,0.449393453880,4.651714300102e-05,1.035216648829e-04
0.80795960,0.445766680375,0.445792324712,2.564433728230e-05,5.752860949757e-05
0.81595920,0.442214950380,0.442236972610,2.202223027747e-05,4.979983209198e-05
0.82395880,0.438691519463,0.438742656596,5.113713308580e-05,1.165674074312e-04
0.83195840,0.435196162145,0.435248340581,5.217843635325e-05,1.198963614386e-04
0.83995800,0.431728654745,0.431754024567,2.536982177243e-05,5.876334937137e-05
0.84795760,0.428288775364,0.428305485618,1.671025449984e-05,3.901632604227e-05
0.85595720,0.424876303869,0.424917982757,4.167888787315e-05,9.809652243153e-05
0.86395680,0.421491021884,0.421530479896,3.945801180744e-05,9.361530793948e-05
0.87195640,0.418132712771,0.418142977035,1.026426384093e-05,2.454786130676e-05
0.87995600,0.414801161619,0.414831769284,3.060766489477e-05,7.378876369421e-05
0.88795560,0.411496155227,0.411551079576,5.492434836929e-05,1.334747546765e-04
0.89595520,0.408217482097,0.408270389868,5.290777085759e-05,1.296068227793e-04
0.90395480,0.404964932413,0.404989700160,2.476774757698e-05,6.116022794720e-05
0.91195440,0.401738298030,0.401770046540,3.174850958926e-05,7.902783913037e-05
0.91995400,0.398537372465,0.398596169986,5.879752005039e-05,1.475332656675e-04
0.92795360,0.395361950878,0.395407034409,4.508353121774e-05,1.140310318624e-04
0.93595320,0.392211830060,0.392217898833,6.068772732182e-06,1.547320164018e-05
0.94395280,0.389086808423,0.389120317388,3.350896462190e-05,8.612207840638e-05
0.95195240,0.385986685985,0.386037994965,5.130897985611e-05,1.329294033166e-04
0.95995200,0.382911264356,0.382940413519,2.914916369601e-05,7.612511411762e-05
0.96795160,0.379860346728,0.379858091096,2.255631712411e-06,5.938055213818e-06
0.97595120,0.376833737861,0.376867322805,3.358494335937e-05,8.912403531059e-05
0.98395080,0.373831244071,0.373876554513,4.531044216260e-05,1.212056051528e-04
0.99195040,0.370852673215,0.370885786221,3.311300611003e-05,8.928884298707e-05
0.99995000,0.367897834684,0.367895017929,2.816754308521e-06,7.656349244195e-06
1.00794960,0.364966539385,0.364995803769,2.926438405193e-05,8.018374534073e-05
1.01594920,0.362058599734,0.362096589609,3.798987495179e-05,1.049274205329e-04
1.02394880,0.359173829639,0.359197375448,2.354580891184e-05,6.555546915956e-05
1.03194840,0.356312044494,0.356313420310,1.375815638083e-06,3.861266155165e-06
1.03994800,0.353473061161,0.353505760281,3.269911962900e-05,9.250809530317e-05
1.04794760,0.350656697963,0.350698100252,4.140228913535e-05,1.180707209527e-04
1.05594720,0.347862774668,0.347890440223,2.766555433942e-05,7.953008011790e-05
